Quantidade,Valor inicial,Valor final,Possibilidades,Tempo Total
2000,-250,250,30484,.232229
2000,-500,500,84969,.444626
2000,-1000,1000,125462,.813842
2000,-2000,2000,124620,.611016
2000,-4000,4000,84886,.669980
2000,-16000,16000,27258,.730384
