Quantidade,Valor inicial,Valor final,Possibilidades,Tempo Total
250,-250,250,2066,00.014234
250,-500,500,1461,00.016010
250,-1000,1000,660,00.013435
250,-2000,2000,401,00.011296
250,-4000,4000,258,00.010259
250,-16000,16000,57,00.017099

